LaTeX: parameters of the gaussian fits \ pm error:
D1	&	$	  4530.00000	\pm	    10.00000	$	&	$	  2025.30005	\pm	    94.20000	$	&	$	     0.44709	\pm	     0.02082	$	&	$	 12160.00000	\pm	    40.00000	$	&	$	  3932.85010	\pm	   141.30000	$	&	$	     0.32343	\pm	     0.01167	$	\\
D2	&	$	  2710.00000	\pm	     4.00000	$	&	$	  1408.29004	\pm	    14.13000	$	&	$	     0.51966	\pm	     0.00527	$	&	$	  7010.00000	\pm	    30.00000	$	&	$	  3014.39990	\pm	   164.85001	$	&	$	     0.43001	\pm	     0.02359	$	\\
D3	&	$	  3091.00000	\pm	     3.00000	$	&	$	  1297.60498	\pm	     7.06500	$	&	$	     0.41980	\pm	     0.00232	$	&	$	  7870.00000	\pm	    20.00000	$	&	$	  2307.89990	\pm	    47.10000	$	&	$	     0.29325	\pm	     0.00603	$	\\
D4	&	$	  1619.00000	\pm	     1.00000	$	&	$	   574.62000	\pm	     4.71000	$	&	$	     0.35492	\pm	     0.00292	$	&	$	  4143.00000	\pm	     7.00000	$	&	$	  1168.07996	\pm	    21.19500	$	&	$	     0.28194	\pm	     0.00514	$	\\
D5	&	$	  2311.00000	\pm	     2.00000	$	&	$	   892.54498	\pm	     7.06500	$	&	$	     0.38622	\pm	     0.00308	$	&	$	  5940.00000	\pm	    10.00000	$	&	$	  1460.09998	\pm	    47.10000	$	&	$	     0.24581	\pm	     0.00794	$	\\
D6	&	$	  1951.00000	\pm	     2.00000	$	&	$	   685.30499	\pm	     4.71000	$	&	$	     0.35126	\pm	     0.00244	$	&	$	  4986.00000	\pm	     8.00000	$	&	$	  1036.19995	\pm	    23.55000	$	&	$	     0.20782	\pm	     0.00473	$	\\
D7	&	$	  1712.00000	\pm	     3.00000	$	&	$	  1149.23999	\pm	    11.77500	$	&	$	     0.67129	\pm	     0.00698	$	&	$	  4120.00000	\pm	     8.00000	$	&	$	  2590.50000	\pm	   235.50000	$	&	$	     0.62876	\pm	     0.05717	$	\\
D8	&	$	  2654.00000	\pm	     4.00000	$	&	$	  1328.21997	\pm	    16.48500	$	&	$	     0.50046	\pm	     0.00626	$	&	$	  6810.00000	\pm	    10.00000	$	&	$	  1672.05005	\pm	    47.10000	$	&	$	     0.24553	\pm	     0.00693	$	\\
